t,sx1,sy1,sx2,sy2,vx1,vy1,vx2,vy2,distance,total KE
0.89,1.254,0,8.146,0,-2.771,0,4.924,0,6.892,159.126,
0.9,1.226,0,8.195,0,-2.771,0,4.924,0,6.969,159.126,
0.91,1.199,0,8.244,0,-2.771,0,4.924,0,7.046,159.126,
0.92,1.171,0,8.294,0,-2.771,0,4.924,0,7.123,159.126,
0.93,1.143,0,8.343,0,-2.771,0,4.924,0,7.2,159.126,
0.94,1.115,0,8.392,0,-2.771,0,4.924,0,7.277,159.126,
0.95,1.088,0,8.441,0,-2.771,0,4.924,0,7.354,159.126,
0.96,1.06,0,8.491,0,-2.771,0,4.924,0,7.431,159.126,
0.97,1.032,0,8.54,0,-2.771,0,4.924,0,7.508,159.126,
0.98,1.005,0,8.589,0,-2.771,0,4.924,0,7.585,159.126,
0.99,0.977,0,8.638,0,-2.771,0,4.924,0,7.662,159.126,
1,0.949,0,8.688,0,-2.771,0,4.924,0,7.738,159.126,
1.01,0.921,0,8.737,0,-2.771,0,4.924,0,7.815,159.126,
1.02,0.894,0,8.786,0,-2.771,0,4.924,0,7.892,159.126,
1.03,0.866,0,8.835,0,-2.771,0,4.924,0,7.969,159.126,
1.04,0.838,0,8.885,0,-2.771,0,4.924,0,8.046,159.126,
1.05,0.811,0,8.934,0,-2.771,0,4.924,0,8.123,159.126,
1.06,0.783,0,8.983,0,-2.771,0,4.924,0,8.2,159.126,
1.07,0.755,0,9.032,0,-2.771,0,4.924,0,8.277,159.126,
1.08,0.727,0,9.082,0,-2.771,0,4.924,0,8.354,159.126,
1.09,0.7,0,9.131,0,-2.771,0,4.924,0,8.431,159.126,
1.1,0.672,0,9.18,0,-2.771,0,4.924,0,8.508,159.126,
1.11,0.644,0,9.229,0,-2.771,0,4.924,0,8.585,159.126,
1.12,0.617,0,9.278,0,-2.771,0,4.924,0,8.662,159.126,
1.13,0.589,0,9.328,0,-2.771,0,4.924,0,8.739,159.126,
1.14,0.561,0,9.377,0,-2.771,0,4.924,0,8.816,159.126,
1.15,0.534,0,9.426,0,-2.771,0,4.924,0,8.893,159.126,
1.16,0.506,0,9.475,0,-2.771,0,4.924,0,8.97,159.126,
1.17,0.478,0,9.525,0,-2.771,0,4.924,0,9.047,159.126,
1.18,0.45,0,9.574,0,-2.771,0,4.924,0,9.123,159.126,
1.19,0.423,0,9.623,0,-2.771,0,4.924,0,9.2,159.126,
1.2,0.395,0,9.672,0,-2.771,0,4.924,0,9.277,159.126,
1.21,0.367,0,9.722,0,-2.771,0,4.924,0,9.354,159.126,
1.22,0.34,0,9.771,0,-2.771,0,4.924,0,9.431,159.126,
1.23,0.312,0,9.82,0,-2.771,0,4.924,0,9.508,159.126,
1.24,0.284,0,9.869,0,-2.771,0,4.924,0,9.585,159.126,
1.25,0.256,0,9.919,0,-2.771,0,4.924,0,9.662,159.126,
